Company Name,Company Full Name
rdn,Radian Group Inc.
rga,"Reinsurance Group of America, Incorporated"
rli,RLI Corp.
ryan,"Ryan Specialty Holdings, Inc."
saft,"Safety Insurance Group, Inc."
sigi,"Selective Insurance Group, Inc."
stc,Stewart Information Services Corporation
thg,"The Hanover Insurance Group, Inc."
tipt,Tiptree Inc.
trup,"Trupanion, Inc."
trv,"The Travelers Companies, Inc."
ufcs,"United Fire Group, Inc."
unm,Unum Group
uve,"Universal Insurance Holdings, Inc."
wrb,W. R. Berkley Corporation
afg,"American Financial Group, Inc."
afl,Aflac Incorporated
aig,"American International Group, Inc."
aiz,"Assurant, Inc."
ajg,Arthur J. Gallagher & Co.
all,The Allstate Corporation
bhf,"Brighthouse Financial, Inc."
brk.a,Berkshire Hathaway Inc.
bro,"Brown & Brown, Inc."
cinf,Cincinnati Financial Corporation
cna,CNA Financial Corporation
cno,"CNO Financial Group, Inc."
dgica,Donegal Group Inc.
eig,"Employers Holdings, Inc."
faf,First American Financial Corporation
fnf,"Fidelity National Financial, Inc."
gl,Globe Life Inc.
gnw,"Genworth Financial, Inc."
hgty,"Hagerty, Inc."
hig,"The Hartford Financial Services Group, Inc."
hmn,Horace Mann Educators Corporation
hrtg,"Heritage Insurance Holdings, Inc."
jxn,Jackson Financial Inc.
kmpr,Kemper Corporation
lmnd,"Lemonade, Inc."
lnc,Lincoln National Corporation
mcy,Mercury General Corporation
met,"MetLife, Inc."
mkl,Markel Group Inc.
mmc,"Marsh & McLennan Companies, Inc."
ori,Old Republic International Corporation
pgr,The Progressive Corporation
pra,ProAssurance Corporation
pri,"Primerica, Inc."
pru,"Prudential Financial, Inc."
